record_id,channel,pmid,doi,openalex_id,title,year,authors,dedup_status,screening_status_round_1,screening_recommendation,screening_reason,human_approval
REC_DIR_0011,Direct_Harvest,,https://doi.org/10.1016/j.chbr.2025.100774,,Moderating the AI Revolution: Perceived threat and generative AI implementation in Vietnamese hospitals,2025,"['Ta Thi Nguỵet Trang', 'Phạm Chiến Thắng', 'Vo Minh Tuan']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Trực tiếp nghiên cứu mối đe dọa nhận thức và sự chấp nhận triển khai Generative AI tại các bệnh viện Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0012,Direct_Harvest,,https://doi.org/10.3390/s22103866,,Sepsis Mortality Prediction Using Wearable Monitoring in Low–Middle Income Countries,2022,"['Shadi Ghiasi', 'Tingting Zhu', 'Ping Lü', 'Jannis Hagenah', 'Phan Nguyen Quoc Khanh', 'Nguyễn Văn Hảo', 'Louise Thwaites', 'David A. Clifton']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Tiên lượng tử vong do nhiễm trùng huyết bằng thiết bị đeo tại Việt Nam (LMIC) — ứng dụng CDS.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0013,Direct_Harvest,,https://doi.org/10.1016/j.phrs.2025.108002,,"Reimagining ethnopharmacology with generative AI: Towards inclusive, ethical, and data-driven traditional medicine",2025,"['Santanu Bhadra', 'Charu Pundir', 'Maria Mukherjee', 'Amit Kar', 'Subhadip Banerjee', 'Rawiwan Charoensup', 'Thidarat Duangyod', 'Pulok K. Mukherjee']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,"Khía cạnh đạo đức (ethical), tính bao hàm và dữ liệu trong y học cổ truyền bằng Generative AI.",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0014,Direct_Harvest,,https://doi.org/10.1080/25741292.2025.2529625,,"Artificial intelligence ethics in authoritarian Vietnam: governance, trust, and societal tensions",2025,"['Huong T. Tran', 'Bac H. Dang', 'Mai Thanh Thi Nguyen', 'Quynh T. T. Pham', 'Phuoc Van Nguyen']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,"Bài báo trọng tâm về Đạo đức AI, quản trị (governance), niềm tin và thể chế tại Việt Nam.",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0016,Direct_Harvest,,https://doi.org/10.3390/atmos15101163,,"Development of Machine Learning and Deep Learning Prediction Models for PM2.5 in Ho Chi Minh City, Vietnam",2024,"['Phuc Hieu Nguyen', 'Đào Nguyên Khôi', 'Ly Sy Phu Nguyen']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Mô hình dự báo bụi PM2.5 môi trường, không thuộc bối cảnh y tế bệnh nhân).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0017,Direct_Harvest,,https://doi.org/10.1016/j.lanwpc.2023.100733,,Development and Asian-wide validation of the Grade for Interpretable Field Triage (GIFT) for predicting mortality in pre-hospital patients using the Pan-Asian Trauma Outcomes Study (PATOS),2023,"['Jae Yong Yu', 'Sejin Heo', 'Feng Xie', 'Nan Liu', 'Sun Yung Yoon', 'Han Sol Chang', 'Taerim Kim', 'Se Uk Lee', 'Marcus Eng Hock Ong', 'Yih Yng Ng', 'Sang Do Shin', 'Kentaro Kajino', 'Won Chul']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Mô hình AI phân loại cấp cứu ngoại viện có tính giải thích được (Interpretable AI) áp dụng tại Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0018,Direct_Harvest,,https://doi.org/10.1016/j.ebiom.2024.105164,,Towards a machine-learning assisted non-invasive classification of dengue severity using wearable PPG data: a prospective clinical study,2024,"['Stefan Karolcik', 'Vasileos Manginas', 'Ho Quang Chanh', 'John Daniels', 'Nguyen Thi Giang', 'Vu Ngo Thanh Huyen', 'Minh Tu Van Hoang', 'Phan Nguyen Quoc Khanh', 'Bernard Hernandez', 'Damien Ming', 'Hao Nguyen Van', 'Tu Qui Phan', 'Huynh Trung Trieu', 'Tai Luong Thi Hue', 'Alison Holmes', 'Louise Thwaites', 'Tho Phan Vinh', 'Sophie Yacoub', 'Pantelis Georgiou']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Thử nghiệm lâm sàng tiến cứu về ML hỗ trợ phân loại mức độ sốt xuất huyết tại Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0019,Direct_Harvest,,https://doi.org/10.3390/socsci13050253,,Energy Poverty and Health Expenditure: Empirical Evidence from Vietnam,2024,"['Hang Thu Nguyen-Phung', 'Hai Le']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX01_NOT_AI (Nghiên cứu kinh tế y tế và chi tiêu nghèo năng lượng, không liên quan đến công nghệ AI/ML).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0020,Direct_Harvest,,https://doi.org/10.1148/ryai.230212,,Securing Collaborative Medical AI by Using Differential Privacy: Domain Transfer for Classification of Chest Radiographs,2023,"['Soroosh Tayebi Arasteh', 'Mahshad Lotfinia', 'Teresa Nolte', 'Marwin-Jonathan Sähn', 'Peter Isfort', 'Christiane Kühl', 'Sven Nebelung', 'Georgios Kaissis', 'Daniel Truhn']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Giải quyết vấn đề bảo mật dữ liệu y tế (Differential Privacy) trong AI phân loại X-quang ngực.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0021,Direct_Harvest,,https://doi.org/10.2196/85169,,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries: Quantitative Pilot Feasibility Study,2026,"['Andy Li', 'Wei Zhou', 'Rashina Hoda', 'Chris Bain', 'Peter Poon']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Đánh giá an toàn và độ chính xác của LLM khi dịch tóm tắt tư vấn y khoa.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0022,Direct_Harvest,,https://doi.org/10.2196/77817,,What Are the Opportunities and Challenges of Using AI in Medical Education in Vietnam?,2025,"['Trung Anh Nguyen', 'Thanh Binh Nguyen', 'Duy Cuong Nguyen', 'Anh Dung Vu', 'Khanh Linh Dang', 'Nhu Quynh Le', 'Duy Anh Ngo', 'Dang Kien Nguyen', 'Van Thuan Hoang', 'Thanh Binh Ngo']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Trực tiếp nghiên cứu cơ hội và thách thức khi sử dụng AI trong đào tạo y khoa tại Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0023,Direct_Harvest,,https://doi.org/10.1001/jamanetworkopen.2025.32312,,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions,2025,"['M Martos Martos', 'Blanca Fields', 'Samuel G. Finlayson', 'Nigel Hartell', 'Theresa Y. Kim', 'Emily L. Larimer', 'Jason J. Lau', 'Yu-Hsiang Lin', 'Taylor Salaguinto', 'Nguyen Tran-Ngoc', 'K. Casey Lion']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,"Đánh giá độ chính xác của AI dịch hướng dẫn xuất viện (bao gồm bản tiếng Việt), liên quan an toàn bệnh nhân.",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0024,Direct_Harvest,,https://doi.org/10.1089/jwh.2020.8472,,Sex and Gender Disparities in the COVID-19 Pandemic,2020,"['Jewel Gausman', 'Ana Langer']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX01_NOT_AI (Nghiên cứu chênh lệch giới trong đại dịch COVID-19 chung, không liên quan đến công nghệ hay quản trị AI/ML).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0025,Direct_Harvest,,https://doi.org/10.1093/biosci/biae016,,Artificial intelligence helps drive new frontiers in ecology,2024,['Niki Wilson'],UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Ứng dụng AI trong sinh thái học Ecology, không thuộc bối cảnh y tế hay chăm sóc sức khỏe).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0026,Direct_Harvest,,https://doi.org/10.3389/fmed.2025.1666820,,Humanizing pulmonary care in the era of acoustic artificial intelligence: toward global health equity,2025,"['Bilal Irfan', 'Habeebah Muhammad-Kamal', 'Allison Newsome', 'Roberto Daniel Sirvent']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Nhân văn hóa chăm sóc hô hấp bằng AI âm thanh và công bằng sức khỏe toàn cầu.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0027,Direct_Harvest,,https://doi.org/10.1201/9781003306924-9,,Application of AI Tools in Creating Datasets from a Real Data Component for Structural Health Monitoring,2023,"['Minh Q. Tran', 'Hélder S. Sousa', 'José C. Matos']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Giám sát sức khỏe kết cấu công trình cầu đường/bê tông, không phải y tế con người).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0028,Direct_Harvest,,https://doi.org/10.1016/j.uclim.2022.101315,,"AI-based air quality PM2.5 forecasting models for developing countries: A case study of Ho Chi Minh City, Vietnam",2022,"['Rajnish Rakholia', 'Quan Le', 'Hoang Ngoc Khue Vu', 'Bang Quoc Ho', 'Ricardo Simón Carbajo']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Dự báo chất lượng không khí PM2.5 môi trường, không thuộc bối cảnh y tế lâm sàng).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0029,Direct_Harvest,,https://doi.org/10.3390/jrfm18080420,,The Nexus Between Green Finance and Artificial Intelligence: A Systemic Bibliometric Analysis Based on Web of Science Database,2025,"['Katerina Fotova Čiković', 'Violeta Cvetkoska', 'Dinko Primorac']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Tài chính xanh và AI - Kinh tế/Tài chính, không thuộc bối cảnh y tế).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0030,Direct_Harvest,,https://doi.org/10.1080/23322039.2023.2210361,,A LASSO-based model for financial distress of the Vietnamese listed firms: Does the covid-19 pandemic matter?,2023,"['Nam Thanh Vu', 'Ngoc Hong Nguyen', 'Thao Tran', 'Binh Thien Le', 'Duc Hong Vo']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Mô hình LASSO tiên lượng kiệt quệ tài chính doanh nghiệp niêm yết, không thuộc y tế).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0031,Direct_Harvest,,https://doi.org/10.2196/71591,,Insights Into the Current and Future State of AI Adoption Within Health Systems in Southeast Asia: Cross-Sectional Qualitative Study,2025,"['Mochammad Fadjar Wibowo', 'Alexandra Pyle', 'E. F. H. Lim', 'Joshua W. Ohde', 'Nan Liu', 'Jonas Karlström']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Trực tiếp nghiên cứu thực trạng và tương lai chấp nhận AI trong hệ thống y tế Đông Nam Á (bao gồm Việt Nam).,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0032,Direct_Harvest,,https://doi.org/10.1101/806760,,Understanding and predicting ciprofloxacin minimum inhibitory concentration in <i>Escherichia coli</i> with machine learning,2019,"['Bálint Pataki', 'Sébastien Matamoros', 'Boas C.L. van der Putten', 'Daniel Remondini', 'Enrico Giampieri', 'Derya Aytan-Aktug', 'COMPARE ML-AMR group', 'René S. Hendriksen', 'Ole Lund', 'István Csabai', 'Constance Schultsz']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Sử dụng ML tiên lượng nồng độ ức chế tối thiểu kháng sinh (kháng kháng sinh) — vi sinh lâm sàng và quản trị thuốc.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0033,Direct_Harvest,,https://doi.org/10.58845/jstt.utt.2023.en.3.4.44-52,,Predicting Load-Deflection of Composite Concrete Bridges Using Machine Learning Models,2023,"['Manh Van Le', 'Indra Prakash', 'Dam Duc Nguyen']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Tiên lượng biến dạng cầu bê tông - Xây dựng/Hạ tầng, không thuộc y tế).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0034,Direct_Harvest,,https://doi.org/10.1111/jzs.12547,,A comprehensive appraisal of evolutionary diversity in venomous Asian coralsnakes of the genus<i>Sinomicrurus</i>(Serpentes: Elapidae) using Bayesian coalescent inference and supervised machine learning,2021,"['Utpal Smart', 'Matthew J. Ingrasci', 'Goutam C. Sarker', 'Hmartlawmte Lalremsanga', 'Robert W. Murphy', 'Hidetoshi Ota', 'Ming Tu', 'Yogesh S. Shouche', 'Nikolai L. Orlov', 'Eric N. Smith']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Phân tích tiến hóa đa dạng sinh học loài rắn san hô - Sinh học/Động vật học, không thuộc y tế).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0035,Direct_Harvest,,https://doi.org/10.1088/2515-7620/ad39a4,,"Evaluation of models and drought-wetness factors contributing to predicting the vegetation health index in Dak Nong Province, Vietnam",2024,"['Luong Van Viet', 'Dang Hung Bui']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Chỉ số sức khỏe thảm thực vật - Nông nghiệp/Địa lý, không phải y tế con người).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0036,Direct_Harvest,,https://doi.org/10.48550/arxiv.2407.21054,,Sentiment Reasoning for Healthcare,2024,"['Khai-Nguyen Nguyen', 'Khai Le-Duc', 'Bach Phan Tat', 'Duy Hoang Le', 'Long Vo-Dang', 'Truong-Son Hy']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Suy luận cảm xúc AI ứng dụng trong y tế (Healthcare) — nhóm tác giả Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0037,Direct_Harvest,,https://doi.org/10.1186/s12942-025-00404-y,,"Ecological epidemiology insights into clonorchiosis endemicity in Guangxi, China and Vietnam: a comprehensive machine learning analysis",2025,"['Jinxin Zheng', 'Huihui Zhu', 'Shang Xia', 'Men‐Bao Qian', 'Robert Bergquist', 'Hung Manh Nguyen', 'Xiao‐Nong Zhou']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Phân tích ML dịch tễ học sinh thái bệnh sán lá gan tại Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0038,Direct_Harvest,,https://doi.org/10.1164/ajrccm.2025.211.abstracts.a3643,,Artificial Intelligence-assisted Translation and Interpretation for Communication With Patients Who Have Language Barriers: A Systematic Review,2025,"['Inna Strechen', 'Arjun Gupta', 'Sema Karakuş', 'Christine Chen', 'Keivan Nalaie', 'L. Hassett', 'Amelia Barwise']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,AI hỗ trợ dịch thuật giao tiếp với bệnh nhân rào cản ngôn ngữ trong chăm sóc y tế.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0039,Direct_Harvest,,https://doi.org/10.1108/ijqss-09-2025-0225,,How Healthqual drives willingness to pay a premium and revisit intention in health-care sector: the moderation role of AI-enabled service,2026,"['Thanh Tiep Le', 'Thoi Le Quan Chau', 'Ngan Nguyen Dang Kim']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Vai trò điều tiết của dịch vụ AI trong ngành y tế và chất lượng dịch vụ bệnh viện tại Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0040,Direct_Harvest,,https://doi.org/10.1680/jencm.23.00016,,Using machine learning algorithms for predicting bridge vertical deflection,2024,"['Ha Hoang', 'Dam Duc Nguyen', 'Le Van Manh', 'Le Van Hiep', 'Binh Thai Pham']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Tiên lượng độ võng của cầu đường - Xây dựng/Hạ tầng, không thuộc y tế).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0041,Direct_Harvest,,https://doi.org/10.29090/psa.2024.04.24.ap0713,,Development and validation of machine learning-based predictive clinical decision support system for olanzapine in patients with schizophrenia,2024,"['Anh Mai Kieu', 'Ha Nguyet Dang', 'Khanh Thi Cat Tran', 'Tuyen Thi Thanh Nguyen', 'Chien Huu Nguyen', 'Thanh Chi Nguyen', 'Huong Pham', 'Jennifer Lê', 'Hai Thanh Nguyen']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Xây dựng và thẩm định hệ thống hỗ trợ quyết định lâm sàng (CDSS) dựa trên ML cho bệnh nhân tâm thần phân liệt tại Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0042,Direct_Harvest,,https://doi.org/10.31817/vjas.2020.3.1.06,,Toward Audio Beehive Monitoring Based on IoT-AI techniques: A Survey and Perspective,2020,"['Nguyen Huu Du', 'Nguyen Doan Dong', 'Vu Thi Luu', 'Nguyễn Văn Hoàng', 'Phạm Hồng Thái', 'Ngoc T. Phan', 'Nguyen Viet Long', 'Thi-Thu-Hong Phan']",UNIQUE,PENDING_HUMAN_REVIEW,INCLUDE_ROUND_1,Direct research on AI ethics/governance/implementation in Vietnam,PENDING_HUMAN_APPROVAL
REC_DIR_0043,Direct_Harvest,,https://doi.org/10.5281/zenodo.20007941,,LEGAL CHALLENGES IN THE ERA OF ARTIFICIAL INTELLIGENCE REGARDING PATIENTS' RIGHTS: LESSON FOR VIETNAMESE MEDICAL STUDENTS,2026,['Nguyen Thi Phuong Cham and Ho Anh Tuan'],UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Trực tiếp nghiên cứu thách thức pháp lý và quyền người bệnh trong kỷ nguyên AI đối với sinh viên y khoa Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0045,Direct_Harvest,,https://doi.org/10.1109/rivf68649.2025.11365087,,Agentic AI Framework for Adaptive Clinical Workflow Orchestration,2025,"['Quitt Le', 'Duc-Trong Le', 'Hoang D. Nguyen']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Khung Agentic AI điều phối luồng công việc lâm sàng thích ứng tại các cơ sở y tế Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0046,Direct_Harvest,,https://doi.org/10.1596/45024,,Artificial Intelligence Integration in Medical Education: A Landscape with HOT Dimensions in Viet Nam,2026,"['Sang Minh Le', 'Giang Bao Kim']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Tích hợp AI trong đào tạo y khoa tại Việt Nam dưới các chiều kích con người - tổ chức - công nghệ (HOT).,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0047,Direct_Harvest,,https://doi.org/10.3390/ime4030030,,Curious but Unprepared: Healthcare Students’ Perspectives on AI and Robotics in Care and the Need for Curriculum Reform,2025,"['Ngoc Bao Dang', 'Quang Ngoc Phan', 'Nam Hoang Tran']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Khảo sát góc nhìn của sinh viên y tế Việt Nam về AI và robot trong chăm sóc bệnh nhân và nhu cầu cải cách chương trình.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0048,Direct_Harvest,,https://doi.org/10.1093/biosci/biz155,,The United Nations Sustainable Development Goals,2020,['Myrna E. Watanabe'],UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX01_NOT_AI (Bài báo tổng quan chung về Mục tiêu phát triển bền vững LHQ, không có nội dung AI hay y tế VN).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0049,Direct_Harvest,,https://doi.org/10.64753/jcasc.v10i2.1894,,Application of Artificial Intelligence in the Healthcare Sector and Legal Challenges: A Study in Vietnam,2025,['Nguyễn Thị Phương Châm'],UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Trực tiếp nghiên cứu ứng dụng AI trong ngành y tế và các thách thức pháp lý tại Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
