record_id,stage,reviewer,inclusion_decision,exclusion_reason,notes,date
CANON-00148,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật mô hình học máy dự báo bệnh gan nhiễm mỡ trên người Việt Nam, không có nội dung quản trị.",2026-08-02
CANON-00149,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản trùng lặp đề cương nghiên cứu với CANON-00125, không có dữ liệu mới.",2026-08-02
CANON-00150,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật trích xuất hồ sơ bệnh án và mô hình học máy dự đoán rủi ro ung thư buồng trứng, không có quản trị.",2026-08-02
CANON-00151,FULL_TEXT,LOC_DANG,EXCLUDE,EX02_NOT_HEALTHCARE,"Nghiên cứu kỹ thuật phát triển mô hình ngôn ngữ lớn tiếng Việt chung, không chuyên biệt cho y tế.",2026-08-02
CANON-00152,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu đề xuất khung quản trị và điều phối quy trình lâm sàng cho Agentic AI, bao gồm giám sát y khoa và giao thức an toàn.",2026-08-02
CANON-00157,FULL_TEXT,LOC_DANG,EXCLUDE,EX05_WRONG_SOURCE_TYPE,"Tập san tóm tắt hội thảo bioethics quốc tế chung, không phải báo cáo nghiên cứu hay văn bản thể chế chính thức.",2026-08-02
CANON-00166,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu triển khai thực chứng, an toàn theo dõi bệnh nhân và tính khả thi của thiết bị số trong khoa Hồi sức tích cực tại Việt Nam.",2026-08-02
CANON-00169,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật NLP phân tích sức khỏe tâm thần trên mạng xã hội, chỉ báo cáo hiệu năng mô hình, không có quản trị.",2026-08-02
CANON-00171,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu chuyên sâu về bảo mật dữ liệu y tế, vi phạm quyền riêng tư và giải pháp bảo vệ dữ liệu trong học máy y khoa hợp tác.",2026-08-02
CANON-00176,FULL_TEXT,LOC_DANG,INCLUDE,,"Tổng quan hệ thống đánh giá tính an toàn, sự đồng ý thông tin của bệnh nhân và rủi ro đạo đức khi dùng AI phiên dịch trong giao tiếp y tế.",2026-08-02
CANON-00180,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu về triển khai lâm sàng, tích hợp hệ thống y tế và quản trị an toàn thiết bị cảm biến đeo tầm soát nhiễm trùng tại Việt Nam.",2026-08-02
CANON-00181,FULL_TEXT,LOC_DANG,INCLUDE,,"Bài tổng quan đánh giá thực trạng ứng dụng AI nội soi tiêu hóa tại Việt Nam, phân tích thách thức đạo đức và rào cản thể chế.",2026-08-02
CANON-00182,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu lâm sàng học máy dự đoán hiệu quả lọc máu trên bệnh nhân Việt Nam, chỉ báo cáo độ chính xác mô hình.",2026-08-02
CANON-00183,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu tổng quan phạm vi về chính sách triển khai AI trong chương trình tầm soát ung thư tại ASEAN bao gồm Việt Nam, phân tích đạo đức.",2026-08-02
CANON-00184,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu thử nghiệm lâm sàng ngẫu nhiên về AI trong đào tạo sinh viên y khoa, chỉ báo cáo hiệu quả giảng dạy kỹ thuật.",2026-08-02
CANON-00185,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu hỗn hợp về nhận thức đạo đức nghề nghiệp, thái độ và quản trị đào tạo nhân lực dược sĩ trước làn sóng AI tại Việt Nam.",2026-08-02
CANON-00187,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật mô hình học máy dịch tễ học về sán lá gan tại Trung Quốc và Việt Nam, không chứa phân tích thể chế.",2026-08-02
CANON-00188,FULL_TEXT,LOC_DANG,INCLUDE,,Nghiên cứu xây dựng khung quản trị dựa trên dữ liệu cho quản lý chất lượng y tế tại các bệnh viện công lập.,2026-08-02
CANON-00191,FULL_TEXT,LOC_DANG,INCLUDE,,Đề cương nghiên cứu đánh giá tính khả thi và an toàn hỗ trợ quyết định lâm sàng của mô hình AI thời gian thực đối với uốn ván tại Việt Nam.,2026-08-02
CANON-00196,FULL_TEXT,LOC_DANG,INCLUDE,,Nghiên cứu ứng dụng hệ thống hỗ trợ quyết định lâm sàng và phân tầng rủi ro bệnh nhân sốt xuất huyết tại bệnh viện Việt Nam.,2026-08-02
CANON-00198,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu đa trung tâm ứng dụng học máy có khả năng giải thích (XAI) trong dự đoán tử vong do đột quỵ tại Việt Nam, cung cấp minh bạch thuật toán.",2026-08-02
CANON-00207,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Nghiên cứu tổng quan đa ngành về an ninh mạng và rủi ro AI chung, không phân tích chuyên biệt hay có dữ liệu thể chế y tế Việt Nam.",2026-08-02
CANON-00209,FULL_TEXT,LOC_DANG,INCLUDE,,"Báo cáo chính sách và khung quản trị tích hợp AI trong đào tạo y khoa tại Việt Nam theo các chiều Human, Organization, Technology.",2026-08-02
CANON-00210,FULL_TEXT,LOC_DANG,INCLUDE,,Nghiên cứu phát triển công cụ AI kiểm định tuân thủ quy định pháp luật và bảo vệ đạo đức người tiêu dùng trong quảng cáo y tế tại Việt Nam.,2026-08-02
CANON-00216,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật học máy chẩn đoán tiên lượng bệnh nhân COVID-19 tại Việt Nam, chỉ báo cáo độ chính xác mô hình, không có quản trị.",2026-08-02
CANON-00217,FULL_TEXT,LOC_DANG,INCLUDE,,Đề cương nghiên cứu khung quản trị và đánh giá định kiến thuật toán như một yếu tố quyết định sức khỏe xã hội tại các nước LMIC và Việt Nam.,2026-08-02
CANON-00219,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu so sánh độ chính xác kỹ thuật của ChatGPT và Google Translate trong dịch hướng dẫn bệnh nhân, không phân tích chính sách.",2026-08-02
CANON-00221,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản tiền ấn phẩm trùng lặp với CANON-00187 về mô hình học máy dịch tễ học, không đóng góp thêm dữ liệu mới.",2026-08-02
CANON-00222,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Báo cáo chuỗi ca lâm sàng đánh giá phần mềm RAPID AI trong phân tích hình ảnh đột quỵ, chỉ báo cáo chỉ số lâm sàng, không chứa quản trị.",2026-08-02
CANON-00226,FULL_TEXT,LOC_DANG,EXCLUDE,EX02_NOT_HEALTHCARE,"Nghiên cứu thuật toán xử lý tin giả trên mạng xã hội nói chung, không thuộc chuyên ngành y tế và không có phân tích quản trị y tế.",2026-08-02
CANON-00228,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật mô hình học máy dự báo dịch bệnh theo khí hậu tại Bà Rịa - Vũng Tàu, chỉ báo cáo độ chính xác kỹ thuật.",2026-08-02
CANON-00230,FULL_TEXT,LOC_DANG,INCLUDE,,Nghiên cứu tổng quan phạm vi về chính sách y tế số và các chương trình quốc gia triển khai công nghệ và AI trong chăm sóc bệnh viện tại Việt Nam.,2026-08-02
CANON-00231,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kiểm định mô hình học máy chẩn đoán COVID-19 tại Việt Nam, chỉ báo cáo hiệu năng chẩn đoán, không có phân tích quản trị.",2026-08-02
CANON-00232,FULL_TEXT,LOC_DANG,INCLUDE,,"Đề cương nghiên cứu triển khai và mở rộng quy mô giải pháp y tế số cho phụ nữ dân tộc thiểu số tại Việt Nam, phân tích quản trị triển khai.",2026-08-02
CANON-00234,FULL_TEXT,LOC_DANG,INCLUDE,,Nghiên cứu đánh giá năng lực số và hạ tầng quản trị AI trong mạng lưới các thành phố khỏe mạnh tại 9 quốc gia bao gồm Việt Nam.,2026-08-02
CANON-00235,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu định tính về thực trạng và triển vọng ứng dụng AI trong hệ thống y tế Đông Nam Á bao gồm Việt Nam, phân tích rào cản đạo đức.",2026-08-02
CANON-00236,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu phân tích cơ hội, rủi ro đạo đức, tính liêm chính và thách thức chính sách khi áp dụng AI trong đào tạo y khoa tại Việt Nam.",2026-08-02
CANON-00237,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật so sánh độ chính xác dịch thuật y khoa giữa LLM và công cụ dịch truyền thống, chỉ báo cáo chỉ số kỹ thuật.",2026-08-02
CANON-00238,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu kiến thức, thái độ, thực hành đạo đức và liêm chính nghiên cứu liên quan đến AI của sinh viên y khoa tại Việt Nam.",2026-08-02
CANON-00239,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu phát triển và đánh giá kỹ thuật trợ lý AI giảng dạy y học cổ truyền, chỉ báo cáo độ chính xác và hiệu năng công cụ.",2026-08-02
CANON-00240,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản tiền ấn phẩm (preprint) trùng lặp với CANON-00230, không đóng góp thêm dữ liệu mới.",2026-08-02
CANON-00241,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản tiền ấn phẩm trùng lặp với CANON-00231 về mô hình học máy COVID-19, không đóng góp thêm dữ liệu mới.",2026-08-02
CANON-00242,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản tiền ấn phẩm trùng lặp với CANON-00232 về đề cương y tế số dMOM, không đóng góp thêm dữ liệu mới.",2026-08-02
CANON-00243,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu đánh giá thực trạng chấp nhận, rào cản thể chế và quản trị công nghệ y tế số tại 5 bệnh viện Việt Nam.",2026-08-02
CANON-00244,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản tiền ấn phẩm trùng lặp với CANON-00235 về ứng dụng AI y tế tại Đông Nam Á, không đóng góp thêm dữ liệu mới.",2026-08-02
CANON-00245,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản tiền ấn phẩm trùng lặp với CANON-00237 về dịch thuật y khoa, không đóng góp thêm dữ liệu mới.",2026-08-02
CANON-00247,FULL_TEXT,LOC_DANG,INCLUDE,,"Báo cáo chính sách chính thức của Tổ chức Y tế Thế giới (WHO Bulletin) về ứng dụng AI và công nghệ y tế số tại Việt Nam, phân tích thể chế.",2026-08-02
CANON-00248,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật ứng dụng mô hình PhoBERT chẩn đoán phân loại bệnh từ triệu chứng tiếng Việt, chỉ báo cáo độ chính xác NLP.",2026-08-02
CANON-00249,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu tổng quan phạm vi về thực trạng ứng dụng AI trong y tế Việt Nam, phân tích thách thức đạo đức, khoảng trống pháp lý và quản trị.",2026-08-02
CANON-00250,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu tổng quan về ứng dụng AI Agent trong vận hành dược bệnh viện, phân tích quản trị an toàn sử dụng thuốc và quy trình giám sát.",2026-08-02
CANON-00251,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu nhận thức, mối quan ngại về đạo đức riêng tư và sự sẵn sàng của phụ huynh khi dùng ứng dụng sức khỏe tâm thần số cho trẻ em tại Việt Nam.",2026-08-02
CANON-00252,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Nghiên cứu phương pháp luận dữ liệu và công bằng thông tin trong tình trạng khẩn cấp y tế quốc tế chung, không phân tích thể chế Việt Nam.",2026-08-02
CANON-00254,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu thực chứng về việc sử dụng ChatGPT, liêm chính khoa học, đạo đức học thuật và chính sách quản trị trong đào tạo sau đại học ngành y tế.",2026-08-02
CANON-00255,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật phát triển và kiểm định hệ thống hỗ trợ quyết định lâm sàng dự đoán liều dùng thuốc, chỉ báo cáo chỉ số dược lý.",2026-08-02
CANON-00257,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật phát triển chatbot thay đổi hành vi trong đại dịch COVID-19, chỉ báo cáo tính năng kỹ thuật và giao diện.",2026-08-02
CANON-00258,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kiểm định lâm sàng quốc tế mô hình học máy dự đoán ngưng tuần hoàn, chỉ báo cáo chỉ số tiên lượng kỹ thuật.",2026-08-02
