record_id,source_type,title,inclusion_decision,confidence_level,analysis_rationale
CANON-00011,ACADEMIC_STUDY,"Internet of Things (IoT), Artificial Intelligence (AI) Applications for Various Sectors in Emerging Markets - and Risk Management Information System (RMIS) Issues",UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00012,ACADEMIC_STUDY,A New Hope in the Fight Against Antimicrobial Resistance with Artificial Intelligence,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00013,ACADEMIC_STUDY,A Hybrid Architecture for Multi-Stage Claim Document Understanding: Combining Vision-Language Models and Machine Learning for Real-Time Processing,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00014,ACADEMIC_STUDY,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00015,ACADEMIC_STUDY,PSF-Med: Measuring and Explaining Paraphrase Sensitivity in Medical Vision Language Models,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00016,ACADEMIC_STUDY,IP Frameworks and Innovation in the Agricultural Sector in Southeast Asia - A Legal Perspective,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00017,ACADEMIC_STUDY,Predictive modeling of direct medical costs among frail older adults with diabetes mellitus in a rural outpatient setting,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00018,ACADEMIC_STUDY,Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00019,ACADEMIC_STUDY,A Comparison of Machine Learning Methods for Alzheimer's Disease Classification in Vietnamese Patients,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00020,ACADEMIC_STUDY,The Impact of Cultural Dimensions of Clinicians on the Adoption of Artificial Intelligence in Healthcare.,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00021,ACADEMIC_STUDY,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions.,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00022,ACADEMIC_STUDY,Perspectives on year 1 of <i>Alzheimer's &amp; Dementia: Behavior and Socioeconomics of Aging (BSEA)</i>,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00023,ACADEMIC_STUDY,PROTOCOL: Megamap of systematic reviews and evidence and gap maps on the effectiveness of interventions to improve child well‐being in low‐ and middle‐income countries,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00024,ACADEMIC_STUDY,A simple nomogram to predict dengue shock syndrome: A study of 4522 south east Asian children.,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00025,ACADEMIC_STUDY,2020 Global Pediatric Pulmonology Alliance (GPPA) Forum on COVID‐19,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00026,ACADEMIC_STUDY,A New Face of <i>Respirology</i> : Keeping Up With the Rich Tradition While Embracing New Developments,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00027,ACADEMIC_STUDY,Research activities at Hanoi National University of Education ‐ 70 years of development,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00028,ACADEMIC_STUDY,Patient Classification Based on Symptoms Using Machine Learning Algorithms Supporting Hospital Admission,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00029,ACADEMIC_STUDY,Selection of Optimal Mathematical Models for Simulating and Forecasting Vertical Movements,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00030,ACADEMIC_STUDY,DIKO: A Two-Stage Hybrid Network for Knee Osteoarthritis Diagnosis Using Deep Learning,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00031,ACADEMIC_STUDY,Investigating Air Pollution Dynamics in Ho Chi Minh City: A Spatiotemporal Study Leveraging XAI-SHAP Clustering Methodology,EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00032,ACADEMIC_STUDY,"Structural Health Monitoring, Real Applications of Bridges in Vietnam",EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00033,ACADEMIC_STUDY,Towards ADHD Identification in Children Through Eye Tracker Data Analysis,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00034,ACADEMIC_STUDY,Enhancing Health Insurance for Farmers in Vietnam’s Mekong Delta: Influential Factors and Policy Directions,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00035,ACADEMIC_STUDY,Towards Interpretable Martial Arts Training: A Lightweight Attention-Based Approach for Vovinam Action Recognition,EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00036,ACADEMIC_STUDY,Covid-19 Face Mask Prediction Using Machine Learning Techniques,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00037,ACADEMIC_STUDY,"Technology Devices in Sport Education, Technology Applications with Wearable Sensor and Accelerometer in Physical Exercises—And Ho Chi Minh and Lenin Ideologies on Physical Exercise for the Youth",EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00038,ACADEMIC_STUDY,"Applications of Statistic Softwares, IT and Artificial Intelligence—A Research Case on ByPass Behavior of Patients at Vietnam Hospitals",INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00039,ACADEMIC_STUDY,Predictive Modelling of Diseases Based on a Network and Machine Learning Approach,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00040,ACADEMIC_STUDY,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00041,ACADEMIC_STUDY,Identifying Distress in Vietnamese Narratives: Dataset Construction and Model Benchmarking,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00042,ACADEMIC_STUDY,Graph Retrieval-Augmented Language Model for Question Answering of Vietnamese Law,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00043,ACADEMIC_STUDY,NEM: A Numerical Exact Match Subtype-Aware Metric Family for eXplainable Numerical Accuracy in Specialized Chatbots,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00044,ACADEMIC_STUDY,Applying Ensemble Machine Learning Model to Explain the Causes of Stroke,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00045,ACADEMIC_STUDY,Intelligent Post-operative Room Systems: A Cost-Effective Design for Enhanced Patient Care in Resource-Limited Settings,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00046,ACADEMIC_STUDY,Social Pharmacy,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00047,ACADEMIC_STUDY,A Comparative Analysis of Machine Learning Algorithms to Predict Dengue Shock Syndrome,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00048,ACADEMIC_STUDY,Teaching the machine to heal in Vietnam,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00049,ACADEMIC_STUDY,Integrating google trends and hybrid statistical-machine learning models for dengue surveillance in an inland vietnamese province: a 94-month evaluation (2013-2021) with search-signal anomaly screening.,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00050,ACADEMIC_STUDY,"Assessment of climate change impacts on arsenic contamination in groundwater through machine learning, remote sensing, and GIS: a review.",EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00051,ACADEMIC_STUDY,Mapping of high-resolution daily particulate matter (PM(2.5)) concentration at the city level through a machine learning-based downscaling approach.,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00052,ACADEMIC_STUDY,Machine Learning-Assisted Autism Risk Stratification in Toddlers Using the Vietnamese M-CHAT-R and Perinatal Predictors: A Cross-Sectional Study in Vietnam.,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00053,ACADEMIC_STUDY,Predicting Hypertension Based on Machine Learning Methods: A Case Study in Northwest Vietnam,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00054,ACADEMIC_STUDY,Assessing flood susceptibility in Hanoi using machine learning and remote sensing: implications for urban health and resilience,EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00055,ACADEMIC_STUDY,Inland harmful cyanobacterial bloom prediction in the eutrophic Tri An Reservoir using satellite band ratio and machine learning approaches.,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00056,ACADEMIC_STUDY,"Use of GIS and machine learning to predict disease in shrimp farmed on the east coast of the Mekong Delta, Vietnam",EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00057,ACADEMIC_STUDY,"AI-Driven Climate-Health Forecasting: A Machine Learning Model for Epidemic Risk Prediction in Ba Ria-Vung Tau, Vietnam",UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00058,ACADEMIC_STUDY,"Machine Learning-Based Geospatial Modeling of Typhoon-Induced Urban Flood Susceptibility Using Gradient Boosting Machine, Deep Neural Network, and SHAP Interpretability",EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00059,ACADEMIC_STUDY,Ethics meets innovation: Navigating public health and sustainable agriculture in the battle against AMR,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00060,ACADEMIC_STUDY,Identification of the risk of osteoporosis in older Vietnamese women using artificial intelligence and machine learning,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00061,ACADEMIC_STUDY,"Harnessing artificial intelligence for dengue forecasting in climate-vulnerable regions: A narrative review with insights from Ba Ria-Vung Tau, Vietnam.",UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00062,ACADEMIC_STUDY,"AI awareness, AI fear of missing out, and work demotivation as pathways to occupational strain in Vietnamese hospitality employees.",EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00063,ACADEMIC_STUDY,Artificial intelligence-assisted screening reveals high prevalence of osteoporosis in Vietnamese adults using pelvic and hip radiographs.,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00064,ACADEMIC_STUDY,An integrated deep learning and large language model for automated knee osteoarthritis grading and reporting from the Vietnam Osteoporosis Study,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00065,ACADEMIC_STUDY,New year greetings from the Editor-in-Chief of the Asia–Pacific Journal of Oncology Nursing,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00066,ACADEMIC_STUDY,Pushing Back Against Ageism,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00067,ACADEMIC_STUDY,Feasibility of Using an Artificial Intelligence-based Telephone Application for Dietary Assessment and Nudging to Improve the Quality of Food Choices of Female Adolescents in Vietnam: Evidence from a Randomized Pilot Study.,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00068,ACADEMIC_STUDY,Moderating the AI Revolution: Perceived threat and generative AI implementation in Vietnamese hospitals,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00069,ACADEMIC_STUDY,Performance evaluation of nanotubular halloysites from weathered pegmatites in removing heavy metals from water through novel artificial intelligence-based models and human-based optimization algorithm.,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00070,ACADEMIC_STUDY,Accurate PM(2.5) urban air pollution forecasting using multivariate ensemble learning Accounting for evolving target distributions.,EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00071,ACADEMIC_STUDY,Fine-tuning large language models for improved health communication in low-resource languages.,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00072,ACADEMIC_STUDY,Towards a machine-learning assisted non-invasive classification of dengue severity using wearable PPG data: a prospective clinical study.,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00073,ACADEMIC_STUDY,"Microplastic pollution in Vietnam's estuarine, coastal and riverine environments: Research advances and future prospects",EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00074,ACADEMIC_STUDY,"Generative AI chatbots for reliable cancer information: Evaluating web-search, multilingual, and reference capabilities of emerging large language models.",UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00075,ACADEMIC_STUDY,Antimicrobial stewardship at the emergency department: Dead bugs do not mutate!,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00076,ACADEMIC_STUDY,"Multi-output machine learning model for regional air pollution forecasting in Ho Chi Minh City, Vietnam.",EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00077,ACADEMIC_STUDY,Navigating ASEAN region Artificial Intelligence (AI) governance readiness in healthcare,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00078,ACADEMIC_STUDY,"Early prediction of the outbreak risk of dengue fever in Ba Ria-Vung Tau province, Vietnam: An analysis based on Google trends and statistical models.",EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00079,ACADEMIC_STUDY,A PROSPECTIVE CLINICAL STUDY ON THE USE OF A NON-INVASIVE WEARABLE DEVICE AND NEURAL NETWORK MODELS FOR PATIENTS WITH DENGUE,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00080,ACADEMIC_STUDY,"CRT-101.00 Acute Coronary Syndrome in Patients &gt; 80 Was Due to Slow Flow, Only Few Severe Lesions: An Angiographic Coronary Flow and Machine Learning Analysis for Personalized Medicine Management",EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
CANON-00081,ACADEMIC_STUDY,Identify characteristics of Vietnamese oral squamous cell carcinoma patients by machine learning on transcriptome and clinical-histopathological analysis,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00082,ACADEMIC_STUDY,"Flood risk assessment using hybrid artificial intelligence models integrated with multi-criteria decision analysis in Quang Nam Province, Vietnam",EXCLUDE,High,"Nghiên cứu thuộc lĩnh vực ngoài y tế (nông nghiệp, môi trường, công trình, du lịch...); ngoài phạm vi tiêu chí PCC (EX02_NOT_HEALTHCARE)."
CANON-00083,ACADEMIC_STUDY,A novel machine-learning-based infection screening system via 2013–2017 seasonal influenza patients' vital signs as training datasets,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00084,ACADEMIC_STUDY,Circulating lncRNAs as biomarkers for severe dengue using a machine learning approach.,EXCLUDE,High,"Nghiên cứu y khoa lâm sàng hoặc mô hình thuật toán kỹ thuật thuần túy, không đề cập đến khía cạnh đạo đức, trách nhiệm hay chính sách quản trị AI."
