"log_id","stage","run_type","channel","platform","source_name","query_id","query_original","query_translation","run_datetime_utc_plus_7","access_date","filters","sort","language_limit","date_limit","api_or_portal_url","method","selected_fields","per_page","page_or_cursor","reported_or_meta_total","records_exported","delta","raw_format","raw_path","sha256","seed_id","direction","records_viewed","new_records_after_global_dedup","decision_or_destination","stopping_rule","stable_locator","access_status","legal_status_or_version","notes"
"UNESCO-SEED-002","PRE_REGISTRATION_SEARCH_DEVELOPMENT","SEED_LOCATOR_VALIDATION","OFFICIAL_PORTAL","UNESCO","UNESCO Legal Affairs","UNESCO-ETHICS-2021","Recommendation on the Ethics of Artificial Intelligence","","2026-07-31T08:23:00+07:00","2026-07-31","","","","","https://www.unesco.org/en/legal-affairs/recommendation-ethics-artificial-intelligence","Official legal-affairs page snapshot","","","","","1","","HTML","artifacts/pre-registration-search-development/unesco-2021-ai-ethics-recommendation-validation.html","7F57E5D885A7A35BEA0F18F863A35CB218F7CD3029BB1BE9C3DDFFE819DC57FB","UNESCO-2021","","1","","BENCHMARK_SEED_ONLY","Exact legal instrument located","Adopted 2021-11-23","VERIFIED","UNESCO Recommendation 2021","Normative benchmark; not direct evidence of Vietnam implementation."
"OA-SEED-002","PRE_REGISTRATION_SEARCH_DEVELOPMENT","SEED_LOCATOR_VALIDATION","DATABASE","OpenAlex API","OpenAlex Works","OA-SEED-DOI-01","doi:10.2196/32392 OR doi:10.1038/s41746-026-02679-2","Exact DOI lookup","2026-07-31T08:25:00+07:00","2026-07-31","","","","","https://api.openalex.org/works","Exact DOI filter validation","","","","","2","","JSON","artifacts/pre-registration-search-development/openalex-seed-doi-validation.json","20B32DC27FF3FC063836967649F5609BEEBCD92F65809AAA9096F179A8060ABC","TRAN-2022|WANG-2026","","2","","SEEDS_VERIFIED_BY_DOI","Stop when both DOI records returned","OpenAlex W4210885547; W4413327243","VERIFIED","OpenAlex snapshot 2026-07-31","Wang is benchmark/novelty outside direct-Vietnam query."
"PORTAL-GOV-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","Government portal","Cổng Thông tin điện tử Chính phủ","PORTAL-GOV","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://chinhphu.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://chinhphu.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check."
"PORTAL-GAZ-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","Gazette portal","Công báo điện tử","PORTAL-GAZ","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://congbao.chinhphu.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://congbao.chinhphu.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check; signed legal PDFs separately logged."
"PORTAL-GOVVB-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","Government legal documents","Cổng văn bản Chính phủ","PORTAL-GOV-VB","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://vanban.chinhphu.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://vanban.chinhphu.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check."
"PORTAL-VBPL-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","National legal database","Cơ sở dữ liệu quốc gia về văn bản pháp luật","PORTAL-VBPL","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://vbpl.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://vbpl.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check."
"PORTAL-MOH-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","MOH portal","Bộ Y tế","PORTAL-MOH","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://moh.gov.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://moh.gov.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check."
"PORTAL-ASTT-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","MOH unit portal","Cục Khoa học công nghệ và Đào tạo","PORTAL-ASTT","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://asttmoh.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://asttmoh.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check; function/current remit must be rechecked at official run."
"PORTAL-KCB-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","MOH unit portal","Cục Quản lý Khám chữa bệnh","PORTAL-KCB","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://kcb.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://kcb.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check."
"PORTAL-NHIC-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","MOH unit portal","Trung tâm Thông tin Y tế Quốc gia","PORTAL-NHIC","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://ttyqg.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://ttyqg.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check; nhic.vn is not counted independently."
"PORTAL-MST-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","MST portal","Bộ Khoa học và Công nghệ","PORTAL-MST","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://mst.gov.vn/","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://mst.gov.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check; proposal negative control separately logged."
"PORTAL-UNESCO-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","UNESCO portal","UNESCO AI Ethics Vietnam","PORTAL-UNESCO","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://www.unesco.org/ethics-ai/en/vietnam","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://www.unesco.org/ethics-ai/en/vietnam","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Root endpoint HEAD check; legal recommendation seed separately logged."
"PORTAL-WHO-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","WHO portal","WHO Viet Nam","PORTAL-WHO","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://www.who.int/vietnam","HTTP HEAD/GET and official locator check","","","","","0","","","","","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://www.who.int/vietnam","HEAD_403_CONTENT_SEED_VERIFIED","Endpoint snapshot 2026-07-31","HEAD returned 403 on access check; official WHO publication/PDF was retrieved and hashed in WHO-SEED-002."
"PORTAL-HTTB-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","MOH unit portal","Cục Hạ tầng và Thiết bị y tế","PORTAL-HTTB","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://imda.moh.gov.vn/","HTTP HEAD/GET and official locator check","","","","","1","","HTML","artifacts/pre-registration-search-development/moh-cuc-ha-tang-thiet-bi-home.html","AF20D401D5DEEA7CE61AFD784FB42C97A009112931819A4048F02AC38535CCFB","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://imda.moh.gov.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Current homepage HTML snapshot."
"PORTAL-HSPI-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","MOH unit portal","Viện Chiến lược và Chính sách y tế","PORTAL-HSPI","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://hspi.org.vn/","HTTP HEAD/GET and official locator check","","","","","1","","HTML","artifacts/pre-registration-search-development/hspi-home.html","926BF727A8C5ADB6DBD9C58E2DAF5DFA2E3170044AE7AC63AAB6F43941A3BA25","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://hspi.org.vn/","VERIFIED_HTTP_200","Endpoint snapshot 2026-07-31","Current homepage HTML snapshot."
"PORTAL-PHAPCHE-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_ACCESS_VALIDATION","OFFICIAL_PORTAL","MOH unit portal","Vụ Pháp chế","PORTAL-PHAPCHE","Root/function endpoint access check","","2026-07-31T09:12:00+07:00","2026-07-31","","","","","https://vuphapche.moh.gov.vn/pages/news/16411/Chuc-nang-nhiem-vu.html","HTTP HEAD/GET and official locator check","","","","","1","","Markdown derived snapshot","artifacts/pre-registration-search-development/moh-vu-phap-che-functions-web-extract.md","C741CF6AA29B78EBFF2CC0EF080AE8DA7F7423DFBF9A5E26478835B02704616E","","","1","","PORTAL_CHANNEL_LOCKED","Single endpoint access validation; query-specific stopping rules remain in strategy","https://vuphapche.moh.gov.vn/pages/news/16411/Chuc-nang-nhiem-vu.html","HTTP_500_DERIVED_EXTRACT_SAVED","Endpoint snapshot 2026-07-31","Function page server error; official indexed text and Decision 3628 locator captured in derived snapshot; Nghị định 42 independently verifies structure."
"OA-RECALL-003","PRE_REGISTRATION_SEARCH_DEVELOPMENT","SEED_RETRIEVAL_VALIDATION","DATABASE","OpenAlex API","OpenAlex Works","OA-CANDIDATE-DEV-2-DOI-RECALL","Candidate filter retained unchanged; per seed add doi:https://doi.org/{DOI}","Percent-encoded request template and six per-DOI results in JSON artifact","2026-07-31T10:18:00+07:00","2026-07-31","from_publication_date:2019-01-01; to_publication_date:2026-07-31; title_and_abstract.search candidate; DOI added per seed","","","","https://api.openalex.org/works?filter={FILTER_PERCENT_ENCODED}&select=id%2Cdoi&per-page=25&cursor=%2A","Percent-encoded HTTPS GET; no secret logged; one query per DOI","id; doi","25","cursor=*; each seed returned meta.count=1, next_cursor=null, one result","6 x 1","6","0","JSON","artifacts/pre-registration-search-development/openalex-candidate-doi-recall-validation.json","4CF5FCA178917321AE8CC20E6E1060BF59402401FF711C03294C001C6D36AD9F","TRAN-2022|VUONG-2019|YANG-2024|VAN-2024|CHANH-2023|NGUYEN-2025","","6","","PASS_PRELIMINARY_SEARCH_DEVELOPMENT_NOT_CORPUS","Stop after all six pre-specified DOI checks; not a pagination/full-run check","Artifact contains redacted percent-encoded template, requested DOI, returned OpenAlex ID and meta.count","VERIFIED_HTTP_200","OpenAlex snapshot 2026-07-31","6/6 recalled. No independent gold standard; monitoring/outcome evidence may lack known seed. No eligibility, PRISMA, corpus, or G4-G5 inference."
"IMPL-FRAME-003","PRE_REGISTRATION_SEARCH_DEVELOPMENT","SAMPLING_FRAME_LOCKED_NOT_RUN","OFFICIAL_PORTAL","Case-finding frame","Sở Y tế and hospital sentinel frame","DQ-IMPL|DQ-TOOL|DQ-EVID","No portal query executed","","2026-07-31T10:35:00+07:00","2026-07-31","","","","","","Frame locked; second reviewer must re-verify domains and ownership before execution","","","","","","","CSV","implementation-case-sampling-frame.csv","E8592DA92B04CA34F34C6C6138872B2F47E6105882CF680D8FFF56DED269D431","","","","","NOT_RUN","No query run. Future run: per case/query 20 results or two consecutive pages with no new URL; maximum two link levels.","Nine pre-specified cases, domains, criteria, query sets, caps and statuses in frame","NOT_RUN","","Frame is purposive maximum-variation, not probability sampling. No prevalence, national uptake or system-wide effectiveness inference."
